干	かん:on
幣	へい:on
幇	ほう:on
幅	の:on
幀	てい:on
帳	いちょう:kun
帥	すい:on
帖	ちょう:on
帑	と:on
希	け:on
帆	はん:on
布	ふ:on
巷	こう:on
巴	つどもえ:kun
巳	し:on
已	い:on
己	こ:on
巧	こう:on
工	く:on
巣	そう:on
嶼	しょ:on
嶺	ね:on
嶮	けん:on
嵌	かん:on
崩	ほう:on
崇	すう:on
峻	しゅん:on
峡	きょう:on
峠	し:on
峙	し:on
岳	かく:on
岩	がん:on
岐	き:on
屹	きつ:on
屯	とん:on
履	り:on
屡	る:on
屠	と:on
屎	し:on
屍	し:on
屋	んや:kun
屁	ひ:on
尠	せん:on
尚	しょう:on
尖	せん:on
尋	じん:on
尊	そん:on
尉	い:on
専	せん:on
寿	しゅ:on
寡	か:on
寝	しん:on
寛	かん:on
寇	こう:on
密	みっ:on
寄	よせ:kun
家	きや:kun
宵	しょう:on
宰	さい:on
宥	ゆう:on
客	きゃっ:on
宝	ほう:on
宕	とう:on
宏	こう:on
宇	う:on
孺	じゅ:on
學	かく:on
孵	ふ:on
孫	そん:on
孔	こう:on
子	つご:kun
嬰	えい:on
嫡	ちゃく:on
嫌	けん:on
嫉	しっ:on
媾	こう:on
媚	ひ:on
媒	ばい:on
婿	せい:on
婉	えん:on
娼	しょう:on
娩	へん:on
姿	し:on
姻	いん:on
姫	き:on
姜	か:on
姓	しょう:on
姉	し:on
妻	さい:on
妨	ぼう:on
妥	だ:on
妖	よう:on
妊	にん:on
好	よし:kun
奸	かん:on
奮	ふん:on
奪	だっ:on
奨	しょう:on
奥	おう:on
奢	しゃ:on
奠	てん:on
套	とう:on
奔	ほん:on
夾	きょう:on
失	しっ:on
夭	よう:on
夢	む:on
外	と:on
夕	せき:on
声	こわ:kun
壮	そう:on
壟	ろう:on
壌	しょう:on
壁	へき:on
墾	こん:on
墜	つい:on
境	けい:on
填	てん:on
塗	と:on
塊	かい:on
場	ちば:kun
堤	てい:on
堙	いん:on
堕	だ:on
堆	たい:on
培	はい:on
埠	ふ:on
埒	らつ:on
垂	すい:on
坦	たん:on
坑	こう:on
坏	つき:on
均	きん:on
圭	けい:on
圧	あっ:on
土	と:on
国	のくに:kun
固	こ:on
図	しず:kun
嚢	のう:on
嚇	かく:on
嚆	こう:on
噴	ふん:on
噬	せい:on
噌	そ:on
嘲	ちょう:on
嘯	しょう:on
嘉	か:on
嘆	たん:on
嗾	そう:on
嗜	し:on
喰	くろう:kun
喪	そう:on
喧	けん:on
喝	かっ:on
喚	かん:on
喙	かい:on
喊	かん:on
喉	こう:on
喃	なん:on
啖	たん:on
唾	だ:on
唱	しょう:on
唯	ゆい:on
唐	から:kun
唇	しん:on
唆	さ:on
哺	ほ:on
哲	てつ:on
哭	こく:on
哨	しょう:on
哀	あい:on
命	めい:on
呪	じゅ:on
呑	のん:on
呉	ご:on
呂	ろ:on
吻	ふん:on
吹	すい:on
吸	きゅう:on
向	なた:kun
吐	と:on
吏	り:on
司	し:on
右	ゆう:on
叱	しっ:on
台	たい:on
召	しょう:on
叫	きょう:on
叩	こう:on
句	けく:on
口	つくち:kun
叡	えい:on
叛	はん:on
収	しゅう:on
及	きゅう:on
厳	こん:on
厭	えん:on
厚	こう:on
厄	やっ:on
即	そっ:on
印	しいん:kun
占	せん:on
卜	ぼっ:on
博	ばく:on
卓	たっ:on
卒	そっ:on
卑	ひ:on
千	し:on
十	じっ:on
匿	とく:on
匹	ひっ:on
匪	ひ:on
匡	きょう:on
匠	しょう:on
北	ほっ:on
勾	こう:on
勧	かん:on
勤	きん:on
勅	ちょく:on
勃	ぼっ:on
勁	けい:on
劾	かい:on
励	れい:on
劫	ごう:on
努	ど:on
劣	れっ:on
力	りっ:on
劃	かく:on
剿	そう:on
創	そう:on
剴	がい:on
副	ふっ:on
剪	せん:on
剥	はく:on
剔	てき:on
剋	こく:on
剃	てい:on
刻	こっ:on
刷	さっ:on
到	とう:on
刮	かつ:on
刎	ふん:on
分	わけ:kun
刃	しん:on
函	かん:on
凹	おう:on
凱	がい:on
几	き:on
凝	ぎょう:on
凍	とう:on
